"token","n"
"opportunity",1
"oppose",1
"opt",1
"option",1
"ordination",1
"orfonline.org",1
"organizational",1
"orientations",1
"oriented",1
"ought",1
"oust",1
"outcome",1
"outgoing",1
"outlook",1
"overarching",1
"overcame",1
"overly",1
"oversees",1
"overtime",1
"overturn",1
"overturned",1
"ownership",1
"paar",1
"page",1
"pai",1
"pakistan",1
"paradigm",1
"parsis",1
"participated",1
"participation",1
"partly",1
"partnership",1
"patterns",1
"payment",1
"payments",1
"payments50",1
"peace23",1
"people52",1
"period",1
"permanent",1
"permission",1
"persecution",1
"persist",1
"persistent",1
"personal",1
"ph.d",1
"pharmaceutical",1
"pharmacy",1
"phone",1
"photovoltaic",1
"physical",1
"picture",1
"piece",1
"pilgrimage",1
"pillar",1
"placed",1
"placing",1
"plan",1
"plans32",1
"plateaued",1
"platform",1
"play",1
"playing",1
"pleads",1
"pledging",1
"pluralism",1
"poles",1
"poles79",1
"policycenter.ma",1
"politician",1
"polity",1
"poll",1
"polls",1
"polytechnic",1
"polyvocality",1
"popular",1
"populism",1
"porous",1
"portfolios",1
"positioned",1
"positive",1
"possible",1
"posture",1
"poverty",1
"powers69",1
"pp",1
"practices",1
"pradhan",1
"predicted",1
"predictions",1
"predominance",1
"preference",1
"premier",1
"prerequisites",1
"present",1
"presidency82",1
"president",1
"pressure",1
"preventing",1
"previous",1
"previously",1
"prima",1
"primarily",1
"principals",1
"principle",1
"prioritizes",1
"priority",1
"prism",1
"prithviraj",1
"proactive",1
"probably",1
"production",1
"productivity",1
"profit",1
"programs53",1
"progressed",1
"progressive",1
"prohibition",1
"project",1
"projected",1
"prominence",1
"promises",1
"promote",1
"promotes",1
"promoting",1
"promotion",1
"prone",1
"proof",1
"propagate",1
"proper",1
"properties",1
"proponents",1
"proportions",1
"prosperity46",1
"protests",1
"prove",1
"provision",1
"pull",1
"purposes",1
"push",1
"pyrrhic",1
"quantum",1
"questions",1
"rabat",1
"rains",1
"raised",1
"rajasthan",1
"rajya",1
"rallying",1
"ramesh’s",1
"ranging",1
"ranked",1
"rashid",1
"rather",1
"re",1
"reached",1
"read",1
"realize",1
"realm",1
"reckoning",1
"reclaimed",1
"recognition",1
"record",1
"records",1
"recurring",1
"reducing",1
"reflect",1
"reform",1
"refuges",1
"regained",1
"regaining",1
"region",1
"regions",1
"region’s",1
"registered",1
"registration",1
"regular",1
"reinforced",1
"reiterates",1
"rejoined",1
"related",1
"relations76",1
"relationship",1
"relatively",1
"reliance",1
"remark",1
"remarks",1
"reminiscent",1
"renew",1
"repec",1
"replacing",1
"reporting",1
"reports",1
"represent",1
"representatives",1
"represented",1
"republic",1
"republican",1
"required",1
"requirement",1
"requirements",1
"resentful",1
"reshape",1
"reshuffling",1
"resigned",1
"resilience",1
"resilience48",1
"resounding",1
"respect",1
"responsible",1
"resulting",1
"resuscitated",1
"retained",1
"returns",1
"revamp",1
"revitalize",1
"revolved",1
"richer",1
"risen",1
"risks",1
"rocade",1
"rocky",1
"rohan",1
"roll",1
"rooted",1
"roots",1
"rss",1
"rumors",1
"run",1
"safeguard",1
"salience68",1
"salé",1
"sangh",1
"sankalp",1
"savarkar",1
"save",1
"savings",1
"says",1
"scalable",1
"scale",1
"scheme",1
"schools",1
"scion",1
"score",1
"scored",1
"scores",1
"secondly",1
"sectarian",1
"sector47",1
"sectors",1
"secularism66",1
"secularist",1
"see",1
"seeking",1
"seeks",1
"seemed",1
"sense",1
"sensitive",1
"sent",1
"separate",1
"separation",1
"september",1
"serious",1
"seriously",1
"serve",1
"served",1
"serves",1
"setbacks",1
"settle",1
"seven",1
"shadow",1
"shah",1
"shaped",1
"shepherding",1
"shiromani",1
"shivakumar",1
"shocks",1
"show",1
"showed",1
"shown",1
"shōsha",1
"sign",1
"signature",1
"significance71",1
"signs",1
"sikh",1
"sikhs",1
"simplify",1
"simply",1
"singh",1
"sink",1
"sister20",1
"situation",1
"skills",1
"small",1
"smartphones",1
"socially",1
"societal",1
"society",1
"socio",1
"solid",1
"solidified",1
"sometimes",1
"songwe",1
"source",1
"sources",1
"south10",1
"south74",1
"southern",1
"spearheaded",1
"specialist",1
"spends",1
"spent",1
"stances",1
"stand",1
"standing",1
"stark",1
"start",1
"starting",1
"startup",1
"stated",1
"state’s",1
"stature",1
"staunch",1
"steadfast",1
"stipulates",1
"stood",1
"strain",1
"strategies",1
"stratégiques",1
"streamline",1
"streamlining",1
"strengthen",1
"strengthened",1
"strictly",1
"stripped",1
"stronger",1
"stronghold",1
"struggling",1
"study",1
"subsidizes",1
"substitute",1
"substitution",1
"succeeded",1
"succession",1
"successor",1
"sudden",1
"sudha",1
"suffering",1
"sufficient",1
"suggested",1
"suggestion",1
"suggests",1
"summed",1
"sunni",1
"supplementary",1
"supplier",1
"suppliers",1
"supporting",1
"supremacy",1
"suresh",1
"sustainable",1
"swath",1
"swayamsevak",1
"swing",1
"systems",1
"sōgō",1
"tacking",1
"tackle",1
"take",1
"targeted",1
"team",1
"technocratic",1
"telangana",1
"tell",1
"temporary",1
"temptation",1
"ten",1
"tendencies",1
"tenets",1
"tense",1
"termed",1
"territorial",1
"territories",1
"territory",1
"texts",1
"them",1
"theme",1
"themselves",1
"therefore",1
"thinking",1
"thirdly",1
"threatened",1
"three",1
"thus",1
"tigers",1
"times",1
"times3",1
"times81",1
"toilets",1
"took",1
"tool",1
"total",1
"tout",1
"toward",1
"town",1
"traditions",1
"training",1
"trajectory",1
"transform",1
"transitioned",1
"translating",1
"travelogues",1
"trend",1
"tribal",1
"trillion",1
"true",1
"truly",1
"trusted",1
"turned",1
"turnout",1
"tussle",1
"twenty",1
"typical",1
"typically",1
"u.s",1
"ultimately",1
"un",1
"uncommon",1
"unconstitutional",1
"undeniable",1
"underestimated",1
"underlying",1
"undermine",1
"undermined",1
"undp.org",1
"unemployed",1
"unemployment11",1
"uneven",1
"unexpected",1
"union’s",1
"unique",1
"university",1
"unlike",1
"unnecessary",1
"upcoming",1
"uphold",1
"urban",1
"urbanization",1
"use",1
"using",1
"values",1
"vary",1
"vasudhaiva",1
"vehicles",1
"vera",1
"vi",1
"vigilance",1
"viksit",1
"vinayak",1
"virajman",1
"vocational",1
"voice",1
"voices",1
"voltage",1
"voters12",1
"waqf",1
"warn",1
"warned",1
"watch",1
"weak",1
"weaken",1
"weather",1
"website",1
"week",1
"went",1
"whereas",1
"whichever",1
"wide",1
"widely",1
"winner",1
"without",1
"women’s",1
"word",1
"workers",1
"worries",1
"worry",1
"worrying",1
"worse",1
"worship",1
"wrote",1
"www.bbc",1
"www.chathamhouse",1
"www.freiheit.org",1
"www.huffingtonpost",1
"www.huffingtonpost.in",1
"www.iiss",1
"www.iris",1
"www.jpost",1
"www.jpost.com",1
"www.orfonline.org",1
"www.policycenter.ma",1
"www.undp.org",1
"yatra",1
"yatras",1
"yearlong",1
"yearly",1
"yet",1
"yielded",1
"yogi",1
"yojana",1
"younger",1
"youth",1
"études",1
